bms_E,minus_log_prob_tree,expression
31.6453931544284,20.541809186013523, (log(cosh(_a5_)) + sinh(_a2_))
41.9092742037442,27.816981505466295, (_a1_ * exp(cos(exp(sinh(cosh(_a2_))))))
54.0111467723863,24.17939534573991, (fac(_a0_) * sqrt(pow2(sinh(_a3_))))
15.0218313034718,13.266636866560754, (_a0_ / pow3(_a9_))
36.5083057608995,27.1751276192939, (_a7_ / exp(sin((sinh(_a4_) / _a3_))))
17.1382698063496,16.904223026287138, cos(pow2((_a4_ * _a6_)))
8.54925852377006,9.629050706834368, (_a1_ + _a2_)
16.3366378842181,13.266636866560754, (cosh(_a0_) * _a7_)
48.3814925108893,30.170859892847893, ((_a7_ + tan(sin((_a8_ / _a1_)))) ** _a6_)
43.3552978385731,16.904223026287138, (_a3_ ** sin(abs(_a4_)))
93.6288090424898,28.45883539163869, tan(pow2((_a3_ + pow3(sinh(cos(x))))))
15.9093150033729,13.266636866560754, sin((_a4_ ** _a5_))
101.136715190040,21.18366307218592, -(sinh(exp(abs(cos(_a4_)))))
48.3966843899447,23.537541459567514, (pow2((_a1_ + _a3_)) / fac(_a7_))
31.8435248196183,10.270904593006762, pow2(pow3(_a0_))
20.8296129844204,16.904223026287138, (tanh(pow2(_a4_)) + _a5_)
58.1421990106931,7.275172319452771, cosh(x)
70.5757691850075,17.546076912459533, sqrt(cosh(log(cosh(_a3_))))
31.0673245150414,20.541809186013523, (sin(tan(_a3_)) / abs(_a6_))
50.7737646566102,23.537541459567514, abs((_a7_ + (sin(_a8_) ** _a2_)))
16.7236128634849,10.270904593006762, sin(cosh(_a7_))
60.9072732148589,13.266636866560754, (cosh(_a4_) / _a4_)
34.1907301686199,13.266636866560754, sqrt((_a4_ / _a5_))
10.1700705282528,10.270904593006762, -(log(_a4_))
33.3000909973179,16.904223026287138, (-(_a2_) / abs(_a2_))
12.7202575712604,13.266636866560754, (_a1_ * log(_a3_))
20.1889379383963,13.908490752733147, -(sin(sinh(_a0_)))
19.1281442816918,16.904223026287138, log((sqrt(_a8_) / _a9_))
18.3390306045901,19.899955299841128, (_a2_ / -((_a3_ * _a5_)))
23.2582152855964,13.908490752733147, sin(fac(abs(_a6_)))
48.5308197815790,10.270904593006762, cos(tanh(_a7_))
45.1816539990828,13.908490752733147, fac(tanh(sin(_a2_)))
52.6062269236607,14.550344638905543, pow3(cos(log(x)))
26.4186809946132,16.904223026287138, sin(-((_a0_ / _a0_)))
44.0101511875893,33.808446052574276, (sinh(sin(_a2_)) + (exp((_a4_ + _a5_)) / _a8_))
30.1205707869930,23.537541459567514, tan(log((_a1_ / (_a0_ / _a7_))))
37.4005920141553,13.266636866560754, fac((_a9_ + _a7_))
