bms_E,minus_log_prob_tree,expression
73.2429005970675,20.541809186013523, sqrt(cos((log(_a7_) * _a6_)))
80.7487633769703,20.541809186013523, (log(cosh(_a5_)) + sinh(_a2_))
91.0126444301030,27.816981505466295, (_a1_ * exp(cos(exp(sinh(cosh(_a2_))))))
82.6926000481050,24.17939534573991, (fac(_a0_) * sqrt(pow2(sinh(_a3_))))
97.4781992570796,44.07935064558104, ((_a1_ * (_a3_ * pow2((_a5_ + _a8_)))) ** sin(-(sin(_a8_))))
64.1252015258690,13.266636866560754, (_a0_ / pow3(_a9_))
85.6116759836974,27.1751276192939, (_a7_ / exp(sin((sinh(_a4_) / _a3_))))
66.2416400295319,16.904223026287138, cos(pow2((_a4_ * _a6_)))
57.6526287460526,9.629050706834368, (_a1_ + _a2_)
65.4400081188756,13.266636866560754, (cosh(_a0_) * _a7_)
94.9402997402151,30.170859892847893, ((_a7_ + tan(sin((_a8_ / _a1_)))) ** _a6_)
72.0367507471467,16.904223026287138, (_a3_ ** sin(abs(_a4_)))
107.012354903984,28.45883539163869, tan(pow2((_a3_ + pow3(sinh(cos(x))))))
65.0126852283683,13.266636866560754, sin((_a4_ ** _a5_))
85.1614063688333,21.18366307218592, -(sinh(exp(abs(cos(_a4_)))))
109.107899111199,41.08361837202705, sqrt(tan(((_a9_ / fac(_a6_)) ** (_a7_ * tan(-(_a8_))))))
77.0781376656178,23.537541459567514, (pow2((_a1_ + _a3_)) / fac(_a7_))
60.5249780952656,10.270904593006762, pow2(pow3(_a0_))
69.9329832068626,16.904223026287138, (tanh(pow2(_a4_)) + _a5_)
57.3208776209770,7.275172319452771, cosh(x)
80.4131953788711,17.546076912459533, sqrt(cosh(log(cosh(_a3_))))
80.1706947378309,20.541809186013523, (sin(tan(_a3_)) / abs(_a6_))
79.4552179321908,23.537541459567514, abs((_a7_ + (sin(_a8_) ** _a2_)))
65.8945663930507,10.270904593006762, sin(cosh(_a7_))
66.1180238566718,13.266636866560754, (cosh(_a4_) / _a4_)
62.8721824739450,13.266636866560754, sqrt((_a4_ / _a5_))
70.1247418755652,16.904223026287138, (-(_a2_) / abs(_a2_))
61.8236277936459,13.266636866560754, (_a1_ * log(_a3_))
64.1564445588866,10.270904593006762, tanh(sqrt(_a4_))
69.2923081607595,13.908490752733147, -(sin(sinh(_a0_)))
68.2315145055072,16.904223026287138, log((sqrt(_a8_) / _a9_))
68.0270593982499,19.899955299841128, (_a2_ / -((_a3_ * _a5_)))
72.3144019972508,13.908490752733147, sin(fac(abs(_a6_)))
64.8959913409366,10.270904593006762, cos(tanh(_a7_))
73.9616940301219,13.908490752733147, fac(tanh(sin(_a2_)))
69.1715706266095,16.904223026287138, sin(-((_a0_ / _a0_)))
93.1135214099525,33.808446052574276, (sinh(sin(_a2_)) + (exp((_a4_ + _a5_)) / _a8_))
79.2239410094798,23.537541459567514, tan(log((_a1_ / (_a0_ / _a7_))))
66.1806320426047,13.266636866560754, fac((_a9_ + _a7_))
60.7289015137091,13.266636866560754, (-(_a4_) * _a9_)
62.6175591107056,10.270904593006762, abs(log(_a9_))
69.9655732569732,19.899955299841128, (_a7_ * sqrt((_a4_ ** _a9_)))
63.4441528052692,10.270904593006762, pow3(sin(_a3_))
70.4756450117964,19.899955299841128, ((_a2_ * pow3(_a8_)) + _a3_)
73.2323389425121,13.908490752733147, exp(tan(fac(_a0_)))
76.1323786453006,16.904223026287138, (_a3_ ** cosh(sinh(_a9_)))
65.8406470687166,10.270904593006762, abs(tanh(_a8_))
65.2495578688287,20.541809186013523, sinh(((x ** _a1_) + _a8_))
69.6290699592959,16.904223026287138, (sin(_a9_) + log(_a0_))
66.1147394516465,13.266636866560754, tanh((_a1_ / _a7_))
65.4196415655558,13.266636866560754, (_a0_ ** abs(_a4_))
83.4317964297151,24.17939534573991, pow3((_a8_ ** cos(abs(sqrt(_a9_)))))
79.4624210371140,24.17939534573991, sin(cos((_a5_ + -(exp(_a1_)))))
91.1460099583680,31.45456766519268, abs(cos(abs(sin((x / (_a5_ ** _a6_))))))
60.9400927054256,10.270904593006762, sqrt(exp(_a6_))
57.6526287460528,9.629050706834368, (_a7_ + _a8_)
67.3927766145669,13.266636866560754, tan((_a3_ ** _a5_))
53.8284790871157,10.270904593006762, (x ** _a8_)
67.3927766157558,13.266636866560754, (_a5_ ** tan(_a9_))
73.7495483631915,16.904223026287138, (pow3(sinh(_a6_)) ** _a8_)
74.7984432919595,13.908490752733147, tan(fac(sin(_a3_)))
122.313854956008,30.812713779020285, cosh(fac(pow2(tan(((_a8_ ** _a7_) / _a8_)))))
87.3888462199611,21.18366307218592, cosh(log(pow3(tan(abs(_a7_)))))
103.788648934375,34.450299938746674, (cos(_a2_) + (tan(sqrt(cosh(tanh(_a6_)))) ** _a3_))
94.9893012021908,37.446032212300665, ((-(abs((_a7_ / _a3_))) * sqrt(sinh(_a6_))) / _a7_)
87.2793567501627,21.18366307218592, tan(sinh(-(pow3(fac(_a5_)))))
68.5473555697467,19.899955299841128, (_a4_ / (_a9_ / -(_a8_)))
62.7667872536209,16.262369140114743, (_a6_ * (_a8_ * _a3_))
65.5215622662687,16.904223026287138, (pow2(_a2_) * log(_a9_))
82.4590247824894,21.18366307218592, cosh(sqrt(sqrt(abs(sqrt(_a0_)))))
69.6290699587781,16.904223026287138, sin(log((_a1_ + _a8_)))
69.1277123129552,16.904223026287138, (_a1_ ** exp(exp(_a2_)))
61.6534343633356,10.270904593006762, cos(sqrt(_a8_))
68.3970408369734,16.904223026287138, sqrt(pow3((_a7_ * _a4_)))
89.1601815440906,27.816981505466295, fac(log((pow2(sqrt(tanh(_a0_))) + _a8_)))
64.1826496830266,10.270904593006762, tanh(exp(_a0_))
62.2106027729692,10.270904593006762, sin(log(_a6_))
66.5295200343694,13.266636866560754, tan((_a3_ / _a2_))
77.0160965863220,23.537541459567514, sqrt(((sin(_a4_) ** _a5_) ** _a5_))
74.7315314295674,23.537541459567514, sqrt(((pow2(_a9_) / _a1_) ** _a0_))
78.4981370020188,20.541809186013523, (log(_a7_) / abs(tanh(_a0_)))
102.793198611451,38.08788609847306, ((tanh((_a7_ ** cos(x))) / cosh(pow3(_a3_))) ** _a6_)
61.8236277936417,13.266636866560754, (log(_a5_) * _a6_)
79.4606152991782,24.821249231912304, abs(abs(abs((pow2(x) + _a8_))))
69.2860683529056,13.908490752733147, pow3(pow2(sinh(_a1_)))
77.0745072884796,26.533273733121508, ((_a9_ + _a8_) + sqrt((_a1_ ** _a8_)))
66.5277218223358,13.908490752733147, exp(pow2(abs(_a3_)))
61.6534343633356,10.270904593006762, sqrt(cos(_a8_))
64.7746980663110,10.270904593006762, cosh(log(_a3_))
55.9943631344725,13.908490752733147, (pow2(x) / _a3_)
95.9169254649192,31.45456766519268, log(tan(pow3((abs(pow3(_a3_)) + pow2(_a7_)))))
64.8415746493363,10.270904593006762, fac(cos(_a4_))
64.3161770924264,16.262369140114743, ((_a3_ ** _a0_) + _a0_)
122.439210737481,45.36305841792583, ((_a7_ ** sqrt(tanh(sqrt(sinh(_a3_))))) + log(sqrt(cosh(fac(_a9_)))))
96.2372995432682,34.450299938746674, sqrt((pow2(sin((tan(_a7_) / sin(_a5_)))) + _a2_))
