bms_E,minus_log_prob_tree,expression
46.6433971633052,20.541809186013523, sqrt(cos((log(_a7_) * _a6_)))
46.8569224325426,20.541809186013523, (log(cosh(_a5_)) + sinh(_a2_))
57.1208034818788,27.816981505466295, (_a1_ * exp(cos(exp(sinh(cosh(_a2_))))))
48.8007591039541,24.17939534573991, (fac(_a0_) * sqrt(pow2(sinh(_a3_))))
63.5863583127861,44.07935064558104, ((_a1_ * (_a3_ * pow2((_a5_ + _a8_)))) ** sin(-(sin(_a8_))))
30.2333605815860,13.266636866560754, (_a0_ / pow3(_a9_))
51.7198362410987,27.1751276192939, (_a7_ / exp(sin((sinh(_a4_) / _a3_))))
39.6421365952637,16.904223026287138, cos(pow2((_a4_ * _a6_)))
23.7607878018050,9.629050706834368, (_a1_ + _a2_)
31.5481671622536,13.266636866560754, (cosh(_a0_) * _a7_)
54.8346699450179,30.170859892847893, ((_a7_ + tan(sin((_a8_ / _a1_)))) ** _a6_)
38.1449098024399,16.904223026287138, (_a3_ ** sin(abs(_a4_)))
75.7274942080386,28.45883539163869, tan(pow2((_a3_ + pow3(sinh(cos(x))))))
38.4131817923062,13.266636866560754, sin((_a4_ ** _a5_))
82.1890102066706,21.18366307218592, -(sinh(exp(abs(cos(_a4_)))))
75.2160581699545,41.08361837202705, sqrt(tan(((_a9_ / fac(_a6_)) ** (_a7_ * tan(-(_a8_))))))
43.1862967214697,23.537541459567514, (pow2((_a1_ + _a3_)) / fac(_a7_))
26.6331371510166,10.270904593006762, pow2(pow3(_a0_))
36.0411422625515,16.904223026287138, (tanh(pow2(_a4_)) + _a5_)
79.8456173914223,7.275172319452771, cosh(x)
46.3158623016626,17.546076912459533, sqrt(cosh(log(cosh(_a3_))))
46.2788537930366,20.541809186013523, (sin(tan(_a3_)) / abs(_a6_))
45.5633769876441,23.537541459567514, abs((_a7_ + (sin(_a8_) ** _a2_)))
39.2274796524184,10.270904593006762, sin(cosh(_a7_))
31.1367450987956,13.266636866560754, (cosh(_a4_) / _a4_)
28.9803415296960,13.266636866560754, sqrt((_a4_ / _a5_))
66.4662717808902,16.904223026287138, (-(_a2_) / abs(_a2_))
27.9317868493746,13.266636866560754, (_a1_ * log(_a3_))
37.5569411254567,10.270904593006762, tanh(sqrt(_a4_))
42.6928047273333,13.908490752733147, -(sin(sinh(_a0_)))
34.3396735598060,16.904223026287138, log((sqrt(_a8_) / _a9_))
57.4962884497506,19.899955299841128, (_a2_ / -((_a3_ * _a5_)))
45.7052493741680,13.908490752733147, sin(fac(abs(_a6_)))
38.2964879075890,10.270904593006762, cos(tanh(_a7_))
63.9169948991714,13.908490752733147, fac(tanh(sin(_a2_)))
52.5795567801750,14.550344638905543, pow3(cos(log(x)))
64.7915578656034,16.904223026287138, sin(-((_a0_ / _a0_)))
62.8798255549740,33.808446052574276, (sinh(sin(_a2_)) + (exp((_a4_ + _a5_)) / _a8_))
45.3321000659800,23.537541459567514, tan(log((_a1_ / (_a0_ / _a7_))))
32.1902043478719,13.266636866560754, fac((_a9_ + _a7_))
50.1981305504717,13.266636866560754, (-(_a4_) * _a9_)
28.7257181664566,10.270904593006762, abs(log(_a9_))
36.0737323126616,19.899955299841128, (_a7_ * sqrt((_a4_ ** _a9_)))
36.8446493718392,10.270904593006762, pow3(sin(_a3_))
36.5838040674816,19.899955299841128, ((_a2_ * pow3(_a8_)) + _a3_)
39.1350058653036,13.908490752733147, exp(tan(fac(_a0_)))
9.42982522675990,20.541809186013523, (sqrt(x) ** (_a2_ ** _a1_))
42.2405376995026,16.904223026287138, (_a3_ ** cosh(sinh(_a9_)))
39.2411436353069,10.270904593006762, abs(tanh(_a8_))
12.0779443142756,20.541809186013523, sinh(((x ** _a1_) + _a8_))
35.7372290146232,16.904223026287138, (sin(_a9_) + log(_a0_))
39.5152360182120,13.266636866560754, tanh((_a1_ / _a7_))
31.5278006192993,13.266636866560754, (_a0_ ** abs(_a4_))
49.5399554847236,24.17939534573991, pow3((_a8_ ** cos(abs(sqrt(_a9_)))))
56.0917896979431,24.17939534573991, sin(cos((_a5_ + -(exp(_a1_)))))
69.0607648954804,31.45456766519268, abs(cos(abs(sin((x / (_a5_ ** _a6_))))))
27.0482517611766,10.270904593006762, sqrt(exp(_a6_))
23.7607878018050,9.629050706834368, (_a7_ + _a8_)
33.5009356697987,13.266636866560754, tan((_a3_ ** _a5_))
-4.07145226669023,10.270904593006762, (x ** _a8_)
33.5009356697993,13.266636866560754, (_a5_ ** tan(_a9_))
39.8577074198398,16.904223026287138, (pow3(sinh(_a6_)) ** _a8_)
40.3860469132571,13.908490752733147, tan(fac(sin(_a3_)))
119.936838623714,30.812713779020285, cosh(fac(pow2(tan(((_a8_ ** _a7_) / _a8_)))))
53.2915131427526,21.18366307218592, cosh(log(pow3(tan(abs(_a7_)))))
69.8968079906694,34.450299938746674, (cos(_a2_) + (tan(sqrt(cosh(tanh(_a6_)))) ** _a3_))
60.5128014794817,37.446032212300665, ((-(abs((_a7_ / _a3_))) * sqrt(sinh(_a6_))) / _a7_)
76.7485857796443,21.18366307218592, tan(sinh(-(pow3(fac(_a5_)))))
34.6555146244567,19.899955299841128, (_a4_ / (_a9_ / -(_a8_)))
28.8749463088546,16.262369140114743, (_a6_ * (_a8_ * _a3_))
31.6297213219846,16.904223026287138, (pow2(_a2_) * log(_a9_))
48.3616875108956,21.18366307218592, cosh(sqrt(sqrt(abs(sqrt(_a0_)))))
43.0295665253487,16.904223026287138, sin(log((_a1_ + _a8_)))
35.2358713681936,16.904223026287138, (_a1_ ** exp(exp(_a2_)))
35.0539309299057,10.270904593006762, cos(sqrt(_a8_))
34.5051998922423,16.904223026287138, sqrt(pow3((_a7_ * _a4_)))
55.1697538469146,27.816981505466295, fac(log((pow2(sqrt(tanh(_a0_))) + _a8_)))
37.5831462495967,10.270904593006762, tanh(exp(_a0_))
35.6110993395416,10.270904593006762, sin(log(_a6_))
32.6376790900730,13.266636866560754, tan((_a3_ / _a2_))
50.4165931489262,23.537541459567514, sqrt(((sin(_a4_) ** _a5_) ** _a5_))
40.8396904851830,23.537541459567514, sqrt(((pow2(_a9_) / _a1_) ** _a0_))
44.6062960578383,20.541809186013523, (log(_a7_) / abs(tanh(_a0_)))
75.7319726743183,38.08788609847306, ((tanh((_a7_ ** cos(x))) / cosh(pow3(_a3_))) ** _a6_)
27.9317868496111,13.266636866560754, (log(_a5_) * _a6_)
85.0186355581195,24.821249231912304, abs(abs(abs((pow2(x) + _a8_))))
35.3942274086566,13.908490752733147, pow3(pow2(sinh(_a1_)))
43.1826663632675,26.533273733121508, ((_a9_ + _a8_) + sqrt((_a1_ ** _a8_)))
32.4303887436166,13.908490752733147, exp(pow2(abs(_a3_)))
30.6773649890956,10.270904593006762, cosh(log(_a3_))
34.1490114310909,13.908490752733147, (pow2(x) / _a3_)
54.7968755210069,10.270904593006762, fac(cos(_a4_))
30.4243361479036,16.262369140114743, ((_a3_ ** _a0_) + _a0_)
88.0497624788506,45.36305841792583, ((_a7_ ** sqrt(tanh(sqrt(sinh(_a3_))))) + log(sqrt(cosh(fac(_a9_)))))
62.3454585981641,34.450299938746674, sqrt((pow2(sin((tan(_a7_) / sin(_a5_)))) + _a2_))
30.6972939755955,17.546076912459533, cosh((x / tan(_a3_)))
43.2671858041909,16.904223026287138, (sin(_a8_) / fac(_a3_))
26.6331371510166,10.270904593006762, pow3(pow2(_a9_))
22.5724548192646,9.629050706834368, (_a4_ * _a8_)
21.0745886824876,9.629050706834368, (_a9_ * _a9_)
71.2159437927309,20.541809186013523, sqrt(fac(tan((_a7_ ** _a2_))))
37.2816532221395,16.904223026287138, abs((_a7_ / sin(_a8_)))
33.0658481258458,13.908490752733147, abs((x + _a2_))
61.0733054118387,24.17939534573991, (cosh(tanh(_a9_)) / sinh(sinh(_a4_)))
